Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Sentiment_Group,Total_Engagement,Hashtag_List,Hashtag_Count,Word_Count,Character_Count,Continent
Enjoying a beautiful day at the park!,Positive,2023-01-15 12:30:00,User123,Twitter,#Nature #Park,15.0,30.0,USA,2023,1,15,12,Happiness & Joy,45.0,"['#nature', '#park']",2,7,37,North America
Traffic was terrible this morning.,Negative,2023-01-15 08:45:00,CommuterX,Twitter,#Traffic #Morning,5.0,10.0,Canada,2023,1,15,8,Sadness & Loss,15.0,"['#traffic', '#morning']",2,5,34,North America
Just finished an amazing workout! 💪,Positive,2023-01-15 15:45:00,FitnessFan,Instagram,#Fitness #Workout,20.0,40.0,USA,2023,1,15,15,Happiness & Joy,60.0,"['#fitness', '#workout']",2,6,35,North America
Excited about the upcoming weekend getaway!,Positive,2023-01-15 18:20:00,AdventureX,Facebook,#Travel #Adventure,8.0,15.0,UK,2023,1,15,18,Happiness & Joy,23.0,"['#travel', '#adventure']",2,6,43,Europe
Trying out a new recipe for dinner tonight.,Neutral,2023-01-15 19:55:00,ChefCook,Instagram,#Cooking #Food,12.0,25.0,Australia,2023,1,15,19,Neutral / General,37.0,"['#cooking', '#food']",2,8,43,Oceania
Feeling grateful for the little things in life.,Positive,2023-01-16 09:10:00,GratitudeNow,Twitter,#Gratitude #PositiveVibes,25.0,50.0,India,2023,1,16,9,Happiness & Joy,75.0,"['#gratitude', '#positivevibes']",2,8,47,Asia
Rainy days call for cozy blankets and hot cocoa.,Positive,2023-01-16 14:45:00,RainyDays,Facebook,#RainyDays #Cozy,10.0,20.0,Canada,2023,1,16,14,Happiness & Joy,30.0,"['#rainydays', '#cozy']",2,9,48,North America
The new movie release is a must-watch!,Positive,2023-01-16 19:30:00,MovieBuff,Instagram,#MovieNight #MustWatch,15.0,30.0,USA,2023,1,16,19,Happiness & Joy,45.0,"['#movienight', '#mustwatch']",2,7,38,North America
Political discussions heating up on the timeline.,Negative,2023-01-17 08:00:00,DebateTalk,Twitter,#Politics #Debate,30.0,60.0,USA,2023,1,17,8,Sadness & Loss,90.0,"['#politics', '#debate']",2,7,49,North America
Missing summer vibes and beach days.,Neutral,2023-01-17 12:20:00,BeachLover,Facebook,#Summer #BeachDays,18.0,35.0,Australia,2023,1,17,12,Neutral / General,53.0,"['#summer', '#beachdays']",2,6,36,Oceania
Just published a new blog post. Check it out!,Positive,2023-01-17 15:15:00,BloggerX,Instagram,#Blogging #NewPost,22.0,45.0,USA,2023,1,17,15,Happiness & Joy,67.0,"['#blogging', '#newpost']",2,9,45,North America
Feeling a bit under the weather today.,Negative,2023-01-18 10:30:00,WellnessCheck,Twitter,#SickDay #Health,7.0,15.0,Canada,2023,1,18,10,Sadness & Loss,22.0,"['#sickday', '#health']",2,7,38,North America
Exploring the city's hidden gems.,Positive,2023-01-18 14:50:00,UrbanExplorer,Facebook,#CityExplore #HiddenGems,12.0,25.0,UK,2023,1,18,14,Happiness & Joy,37.0,"['#cityexplore', '#hiddengems']",2,5,33,Europe
"New year, new fitness goals! 💪",Positive,2023-01-18 18:00:00,FitJourney,Instagram,#NewYear #FitnessGoals,28.0,55.0,USA,2023,1,18,18,Happiness & Joy,83.0,"['#newyear', '#fitnessgoals']",2,6,30,North America
Technology is changing the way we live.,Neutral,2023-01-19 09:45:00,TechEnthusiast,Twitter,#Tech #Innovation,15.0,30.0,India,2023,1,19,9,Neutral / General,45.0,"['#tech', '#innovation']",2,7,39,Asia
Reflecting on the past and looking ahead.,Positive,2023-01-19 13:20:00,Reflections,Facebook,#Reflection #Future,20.0,40.0,USA,2023,1,19,13,Happiness & Joy,60.0,"['#reflection', '#future']",2,7,41,North America
Just adopted a cute furry friend! 🐾,Positive,2023-01-19 17:10:00,PetAdopter,Instagram,#PetAdoption #FurryFriend,15.0,30.0,Canada,2023,1,19,17,Happiness & Joy,45.0,"['#petadoption', '#furryfriend']",2,7,35,North America
Late-night gaming session with friends.,Positive,2023-01-20 00:05:00,GamerX,Twitter,#Gaming #LateNight,18.0,35.0,UK,2023,1,20,0,Happiness & Joy,53.0,"['#gaming', '#latenight']",2,5,39,Europe
Attending a virtual conference on AI.,Neutral,2023-01-20 11:30:00,TechConference,Facebook,#AI #TechConference,25.0,50.0,USA,2023,1,20,11,Neutral / General,75.0,"['#ai', '#techconference']",2,6,37,North America
Winter blues got me feeling low.,Negative,2023-01-20 15:15:00,WinterBlues,Instagram,#WinterBlues #Mood,8.0,15.0,USA,2023,1,20,15,Sadness & Loss,23.0,"['#winterblues', '#mood']",2,6,32,North America
Sipping coffee and enjoying a good book.,Positive,2023-01-21 08:40:00,Bookworm,Twitter,#Reading #CoffeeTime,22.0,45.0,India,2023,1,21,8,Happiness & Joy,67.0,"['#reading', '#coffeetime']",2,7,40,Asia
Exploring the world of virtual reality.,Positive,2023-01-21 13:20:00,VRExplorer,Facebook,#VR #VirtualReality,15.0,30.0,USA,2023,1,21,13,Happiness & Joy,45.0,"['#vr', '#virtualreality']",2,6,39,North America
Productive day ticking off my to-do list.,Positive,2023-01-21 16:45:00,ProductivityPro,Instagram,#Productivity #WorkFromHome,30.0,60.0,USA,2023,1,21,16,Happiness & Joy,90.0,"['#productivity', '#workfromhome']",2,7,41,North America
Just finished a challenging workout routine.,Positive,2023-01-22 09:15:00,FitnessWarrior,Twitter,#Fitness #ChallengeAccepted,20.0,40.0,UK,2023,1,22,9,Happiness & Joy,60.0,"['#fitness', '#challengeaccepted']",2,6,44,Europe
Celebrating a milestone at work! 🎉,Positive,2023-01-22 14:30:00,CareerMilestone,Facebook,#Career #Milestone,12.0,25.0,Canada,2023,1,22,14,Happiness & Joy,37.0,"['#career', '#milestone']",2,6,34,North America
Sunday brunch with friends.,Positive,2023-01-22 12:00:00,BrunchBuddy,Instagram,#Brunch #Friends,15.0,30.0,UK,2023,1,22,12,Happiness & Joy,45.0,"['#brunch', '#friends']",2,4,27,Europe
Learning a new language for personal growth.,Positive,2023-01-23 16:20:00,LanguageLearner,Facebook,#LanguageLearning #PersonalGrowth,25.0,50.0,India,2023,1,23,16,Happiness & Joy,75.0,"['#languagelearning', '#personalgrowth']",2,7,44,Asia
